,161_Visual_var,255_SomatomotorLateral_mean,187_FrontoParietal_var,56_CinguloOpercular_var,239_DefaultMode_var
0,-1.0870383,-1.5945408,-0.103587195,0.19294171,-1.5616683
1,1.018438,0.86718136,0.24606402,-0.11762227,-1.1688839
2,1.141267,0.31861463,0.16086827,-0.372033,0.59581053
3,0.43606302,0.27199453,0.76521635,1.6643109,0.7079349
4,1.1831493,0.17390035,0.31554487,0.8034573,0.3692111
5,0.68208736,1.554991,1.3610094,-0.05196466,0.2983454
6,1.1323861,0.69205207,1.0780299,1.1031141,0.8373157
7,0.40923637,0.85211736,0.6558578,0.9451136,0.9827723
8,-0.83005136,0.07298029,-2.1954956,-1.3999567,-2.8015025
9,-0.14919426,-0.24715637,-3.0737586,-1.626028,-0.05816482
10,0.74328214,-0.04370987,-0.98556113,1.4910156,0.639979
11,0.463457,0.4042825,0.5821139,-0.25434464,0.64908683
12,-0.10342234,0.6373718,0.27902558,-0.6584601,0.69063324
13,0.31993157,0.25555915,-0.29593426,-0.53157204,0.09732176
14,0.109830886,-3.1941228,0.4203785,0.504705,-0.99568194
15,0.79352677,0.54300636,0.6353328,-2.8150783,0.6882711
16,-1.708538,-1.5465623,-0.18502665,-0.31999302,0.60494536
17,0.231366,0.44665965,-0.41134366,-0.037070055,0.61578095
18,0.862121,1.010302,0.6237181,1.5289237,0.82080066
19,-0.2706841,-0.3637138,-2.8258145,-0.43336287,-0.26093456
20,1.2813977,0.97386706,1.2389736,0.5114716,0.8384927
21,-3.5671017,-0.40160707,-0.08440063,-1.3959885,-1.7053157
22,0.8606975,1.2552319,1.582479,0.22781864,0.91711164
23,-0.415656,-3.666964,-0.10808633,-1.0843607,-0.8799935
24,0.5923633,0.6832663,0.25186396,1.4418511,0.8757386
25,0.38874894,-2.20691,-0.5317828,-2.0761547,0.2715728
26,0.7328364,0.98555285,-0.88214594,-0.24980526,-0.7422527
27,0.04540611,-1.4089501,0.13007511,-1.4129469,0.49166182
28,0.10764665,-0.74150723,0.57683146,-1.2029364,0.10626154
29,-0.3410355,0.17862606,0.11071829,-3.9961312,-2.1065326
30,0.99187887,0.59660417,0.33737198,1.9778013,0.9417712
31,0.26979497,-0.7359803,-0.5745888,-0.067628115,-0.045082197
32,1.1500676,0.17737246,0.25885776,0.59625953,0.6644935
33,1.1568369,0.21522659,0.52810514,1.1594236,0.78662604
34,-0.4348602,-3.5224254,0.6015322,-0.5060838,0.70718014
35,-2.9443374,-0.0117139965,-0.5870102,-0.13775985,0.52819806
36,-0.8871504,-1.8808473,-1.2142763,-1.4041888,-2.7660587
37,1.426645,0.61538047,0.76345366,1.140153,0.8973409
38,0.107808754,0.25642502,-0.0007449262,-1.1042857,-0.4115127
39,0.73486197,1.4383062,0.095803365,1.4526496,1.1211019
40,-1.6189533,0.3465335,0.2305725,-0.41076168,-1.7022645
41,0.53159666,1.6015478,0.065922424,2.1374059,0.50804394
42,-0.7887728,0.6739191,-0.5145108,1.2902851,-1.8156385
43,0.5079115,0.56438553,0.31669557,-0.41924527,-0.124946006
44,-1.4815916,0.50027156,0.03488594,0.194895,0.5973985
45,-0.22749364,1.1159313,-0.7759392,-0.2865098,1.017261
46,0.7897439,-0.43569046,-0.82849514,0.6802251,0.64029163
47,-0.9167858,-0.550599,0.023911262,-0.13249858,-0.57849795
48,0.1157774,0.667675,-0.097019695,-0.12108029,0.27976367
49,-0.18434972,-3.549065,0.5878191,-0.7277409,0.7165769
50,-0.07134797,-0.3279958,-0.45034367,-1.0708631,-0.2337874
51,-0.53060335,0.65883476,0.4898094,3.0174747,1.2085133
52,1.2760967,0.9249467,0.25414014,2.3789048,0.010488004
53,1.6361562,1.2081506,0.984468,0.12758946,0.88728577
54,1.3357954,0.69684505,0.8110119,0.97223884,1.0292921
55,-0.5385306,0.2362851,0.2602225,0.27548775,-1.3884724
56,-0.41229025,0.13076645,-0.36018625,0.838656,0.6478854
57,0.4272943,0.57985765,0.8251647,1.2037127,0.8091261
58,1.0543643,1.3266785,0.68410844,0.15503241,0.624233
59,-0.67336893,0.6453857,-0.042820513,2.103256,0.8126386
60,1.46383,0.7757637,1.4112289,-0.124547064,0.3186308
61,0.36937147,0.46415478,0.6924006,0.5934625,0.72667336
62,-0.16410053,0.2660171,0.14754236,0.7731328,-1.1775131
63,-0.93636805,0.0923404,0.048382808,-2.8895233,0.5303998
64,-0.83538055,0.79380125,1.1541456,0.014601246,0.71850467
65,1.090177,0.2224648,0.41679984,-0.37967163,0.49563333
66,-1.6016593,0.28262192,0.00066913426,0.5610518,0.60126686
67,-0.33751982,-1.0764624,-2.5039876,-0.33119866,-2.906083
68,-1.2858117,0.23606543,0.19888726,0.20234719,0.49351367
69,0.5293942,0.10212457,0.6130342,1.0131799,0.586359
70,0.47685087,-4.9958334,-0.2861342,-1.8344944,-0.51389414
71,-0.684514,-0.17756188,-0.46879628,0.6364335,-0.46083558
72,-1.1755506,-0.122320965,0.37725958,0.28117138,0.48758766
73,-0.855121,-0.20729291,-2.5157409,-0.7517536,0.17621635
74,-1.5799832,0.30456153,-0.045255568,-1.809161,-2.025042
75,0.46916416,0.80253714,-0.4532905,-0.010235637,-0.96162724
76,0.6984609,0.88017297,-0.1482745,0.17460248,-0.7608942
77,1.2135711,1.3739743,0.06387428,-0.81867015,1.01267
78,-1.1083175,0.30680746,-0.7391469,-0.7514737,0.13750283
79,0.28571233,0.30622885,0.63621444,0.8912373,0.7250428
80,-0.8314733,-3.5493433,0.10254253,-0.75693285,-0.118923426
81,-3.3433185,-0.050730675,-0.6611618,-0.14148054,0.044064175
82,0.5612264,-0.20440836,-1.4524803,-0.85496074,-0.20371303
83,0.24326196,0.19264607,1.1287016,-0.55851185,-0.15951753
